id_busca,nome,hidden_layers,dropout,learning_rate,batch_size,patience,fold,n_train,n_val,train_start,train_end,val_start,val_end,rmse_delta_lon,rmse_delta_lat,rmse_medio,mae_delta_lon,mae_delta_lat,mae_medio,r2_delta_lon,r2_delta_lat,best_epoch,best_val_loss_scaled
1,2camadas_128-64_drop0.0_lr0.0005_batch128,"[128, 64]",0.0,0.0005,128,15,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.2037625106301009,0.17744599257962732,0.1906042516048641,0.14557410342290167,0.12870598233068742,0.13714004287679454,0.14973556770037522,0.0052483334037435325,26,0.9061342899718982
1,2camadas_128-64_drop0.0_lr0.0005_batch128,"[128, 64]",0.0,0.0005,128,15,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.18446716534498203,0.1280106871464072,0.15623892624569463,0.13032946666635825,0.09003158002648895,0.1101805233464236,0.10492187943233577,0.2906289116454902,20,0.6042440481238313
1,2camadas_128-64_drop0.0_lr0.0005_batch128,"[128, 64]",0.0,0.0005,128,15,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.16749081586287778,0.17227167008591693,0.16988124297439736,0.12153816616466495,0.11883064815846485,0.1201844071615649,-0.03947065801492222,0.15951569717700465,31,0.7986173635905551
1,2camadas_128-64_drop0.0_lr0.0005_batch128,"[128, 64]",0.0,0.0005,128,15,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.1480212306801093,0.1327017658653857,0.14036149827274752,0.11056557555784081,0.09897094170655586,0.10476825863219834,0.12164035774110227,0.2890414691351961,8,0.5544459223747253
2,2camadas_32-16_drop0.1_lr0.0005_batch128,"[32, 16]",0.1,0.0005,128,10,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.20448904063384468,0.17855358587929487,0.1915213132565698,0.14829306469210746,0.12745498265661812,0.1378740236743628,0.1436613990781077,-0.0072086271014297765,95,0.9147473359375857
2,2camadas_32-16_drop0.1_lr0.0005_batch128,"[32, 16]",0.1,0.0005,128,10,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.184077081232315,0.12926676393158087,0.15667192258194795,0.1308088928084475,0.09188217664168158,0.11134553472506455,0.10870343678516681,0.276639516422177,58,0.6071189176905286
2,2camadas_32-16_drop0.1_lr0.0005_batch128,"[32, 16]",0.1,0.0005,128,10,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.1647189913421239,0.1721104997072377,0.1684147455246808,0.11978957105688788,0.11812014087440391,0.1189548559656459,-0.0053507053417487516,0.16108760748943152,60,0.7868463888610762
2,2camadas_32-16_drop0.1_lr0.0005_batch128,"[32, 16]",0.1,0.0005,128,10,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.14946689847933883,0.13202714643138,0.14074702245535942,0.11493527880006661,0.10008024820897632,0.10750776350452146,0.10439935583295912,0.2962517318447797,42,0.5572638511657715
3,2camadas_128-64_drop0.0_lr0.002_batch64,"[128, 64]",0.0,0.002,64,10,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.20096395229530792,0.17955125105155154,0.19025760167342973,0.14474821726991285,0.1292152885106629,0.13698175289028788,0.17293094342555526,-0.018495594811864136,4,0.9017622591404433
3,2camadas_128-64_drop0.0_lr0.002_batch64,"[128, 64]",0.0,0.002,64,10,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.18535753688489745,0.1286345961502618,0.15699606651757964,0.129730347443486,0.08958825970556754,0.10965930357452677,0.09626044187254257,0.2836972785497881,3,0.6101126814936544
